iteration,data_size,real_time_sec,user_time_sec,sys_time_sec,status,file_size_bytes,method
2,8K,0.05000,0.04000,0.00000,SUCCESS,1112060,jinja2
2,16K,0.05000,0.04000,0.01000,SUCCESS,1526954,jinja2
2,32K,0.06000,0.05000,0.01000,SUCCESS,2356913,jinja2
2,64K,0.07000,0.06000,0.01000,SUCCESS,4016652,jinja2
2,128K,0.11000,0.08000,0.01000,SUCCESS,7336149,jinja2
2,256K,0.16000,0.13000,0.02000,SUCCESS,13975248,jinja2
2,485K,0.27000,0.21000,0.04000,SUCCESS,25881368,jinja2
3,100,0.11000,0.04000,0.02000,SUCCESS,700028,jinja2
3,500,0.05000,0.03000,0.00000,SUCCESS,723059,jinja2
3,1K,0.05000,0.04000,0.00000,SUCCESS,748987,jinja2
3,2K,0.05000,0.04000,0.00000,SUCCESS,800850,jinja2
3,4K,0.05000,0.04000,0.01000,SUCCESS,904577,jinja2
3,8K,0.05000,0.04000,0.01000,SUCCESS,1112060,jinja2
3,16K,0.05000,0.04000,0.01000,SUCCESS,1526954,jinja2
3,32K,0.06000,0.05000,0.01000,SUCCESS,2356913,jinja2
3,64K,0.08000,0.06000,0.01000,SUCCESS,4016652,jinja2
3,128K,0.11000,0.08000,0.02000,SUCCESS,7336149,jinja2
3,256K,0.17000,0.13000,0.02000,SUCCESS,13975248,jinja2
3,485K,0.27000,0.21000,0.04000,SUCCESS,25881368,jinja2
4,100,0.10000,0.04000,0.02000,SUCCESS,700028,jinja2
4,500,0.05000,0.04000,0.00000,SUCCESS,723059,jinja2
4,1K,0.05000,0.04000,0.01000,SUCCESS,748987,jinja2
4,2K,0.05000,0.04000,0.00000,SUCCESS,800850,jinja2
4,4K,0.05000,0.04000,0.01000,SUCCESS,904577,jinja2
4,8K,0.05000,0.04000,0.01000,SUCCESS,1112060,jinja2
4,16K,0.05000,0.04000,0.01000,SUCCESS,1526954,jinja2
4,32K,0.06000,0.05000,0.01000,SUCCESS,2356913,jinja2
4,64K,0.07000,0.06000,0.01000,SUCCESS,4016652,jinja2
4,128K,0.11000,0.08000,0.02000,SUCCESS,7336149,jinja2
4,256K,0.17000,0.13000,0.02000,SUCCESS,13975248,jinja2
4,485K,0.30000,0.22000,0.05000,SUCCESS,25881368,jinja2
5,100,0.09000,0.04000,0.02000,SUCCESS,700028,jinja2
5,500,0.05000,0.04000,0.00000,SUCCESS,723059,jinja2
5,1K,0.05000,0.03000,0.00000,SUCCESS,748987,jinja2
5,2K,0.05000,0.03000,0.00000,SUCCESS,800850,jinja2
5,4K,0.05000,0.04000,0.00000,SUCCESS,904577,jinja2
5,8K,0.05000,0.04000,0.01000,SUCCESS,1112060,jinja2
5,16K,0.05000,0.04000,0.01000,SUCCESS,1526954,jinja2
5,32K,0.06000,0.05000,0.01000,SUCCESS,2356913,jinja2
5,64K,0.08000,0.06000,0.01000,SUCCESS,4016652,jinja2
5,128K,0.11000,0.08000,0.02000,SUCCESS,7336149,jinja2
5,256K,0.17000,0.13000,0.02000,SUCCESS,13975248,jinja2
5,485K,0.32000,0.21000,0.05000,SUCCESS,25881368,jinja2
1,100,0.05000,0.03000,0.01000,SUCCESS,694563,scifr
1,500,0.03000,0.02000,0.00000,SUCCESS,717586,scifr
1,1K,0.02000,0.02000,0.00000,SUCCESS,743506,scifr
1,2K,0.03000,0.02000,0.00000,SUCCESS,795353,scifr
1,4K,0.03000,0.02000,0.00000,SUCCESS,899048,scifr
1,8K,0.03000,0.02000,0.00000,SUCCESS,1106467,scifr
1,16K,0.03000,0.02000,0.00000,SUCCESS,1521237,scifr
1,32K,0.03000,0.02000,0.00000,SUCCESS,2350940,scifr
1,64K,0.04000,0.02000,0.01000,SUCCESS,4010163,scifr
1,128K,0.05000,0.03000,0.01000,SUCCESS,7328632,scifr
1,256K,0.07000,0.04000,0.02000,SUCCESS,13965675,scifr
1,485K,0.11000,0.06000,0.04000,SUCCESS,25868107,scifr
2,100,0.05000,0.03000,0.01000,SUCCESS,694563,scifr
2,500,0.03000,0.02000,0.00000,SUCCESS,717586,scifr
2,1K,0.03000,0.02000,0.00000,SUCCESS,743506,scifr
2,2K,0.03000,0.02000,0.00000,SUCCESS,795353,scifr
2,4K,0.03000,0.02000,0.00000,SUCCESS,899048,scifr
2,8K,0.03000,0.02000,0.00000,SUCCESS,1106467,scifr
2,16K,0.03000,0.02000,0.00000,SUCCESS,1521237,scifr
2,32K,0.03000,0.02000,0.00000,SUCCESS,2350940,scifr
2,64K,0.04000,0.02000,0.01000,SUCCESS,4010163,scifr
2,128K,0.05000,0.03000,0.01000,SUCCESS,7328632,scifr
2,256K,0.07000,0.04000,0.02000,SUCCESS,13965675,scifr
2,485K,0.15000,0.06000,0.04000,SUCCESS,25868107,scifr
3,100,0.04000,0.02000,0.01000,SUCCESS,694563,scifr
3,500,0.03000,0.02000,0.00000,SUCCESS,717586,scifr
3,1K,0.03000,0.02000,0.00000,SUCCESS,743506,scifr
