iteration,data_size,real_time_sec,user_time_sec,sys_time_sec,status,file_size_bytes,method
3,100,0.11000 0.04000 0.02000,SUCCESS,700028,jinja2
3,500,0.05000 0.03000 0.00000,SUCCESS,723059,jinja2
3,1K,0.05000 0.04000 0.00000,SUCCESS,748987,jinja2
3,2K,0.05000 0.04000 0.00000,SUCCESS,800850,jinja2
3,4K,0.05000 0.04000 0.01000,SUCCESS,904577,jinja2
3,8K,0.05000 0.04000 0.01000,SUCCESS,1112060,jinja2
3,16K,0.05000 0.04000 0.01000,SUCCESS,1526954,jinja2
3,32K,0.06000 0.05000 0.01000,SUCCESS,2356913,jinja2
3,64K,0.08000 0.06000 0.01000,SUCCESS,4016652,jinja2
3,128K,0.11000 0.08000 0.02000,SUCCESS,7336149,jinja2
3,256K,0.17000 0.13000 0.02000,SUCCESS,13975248,jinja2
3,485K,0.27000 0.21000 0.04000,SUCCESS,25881368,jinja2
